Label;Name;VarLabel;VarValue;Comment0;Comment1;Comment2;Table;Type
;ARSAK_DIAGNOSER_IB;;;;;;dodsaarsaker_2014;nvarchar
;DIAGNOSE_UNDERLIGGENDE_K;;;;;;dodsaarsaker_2014;nvarchar
;NORCAD_ID;;;NORCAD_ID;;;dodsaarsaker_2014;float
;Blank_pages;;;;;;FFQ_metadata;float
;FFQ_data;Missing;0;;;;FFQ_metadata;float
;FFQ_data;Available FFQ;1;;;;FFQ_metadata;float
;WENBIT_nr;Numeric;;;;;FFQ_metadata;float
;Nr;;;;;;FFQ_NUTRITION_TOTAL;float
;TOTALT_g;;;;;;FFQ_NUTRITION_TOTAL;float
;Alko_Eprosent;;;;E %;Energiprosentfordeling for hver person, E%.;FFQ_NUTRITION_TOTAL;float
;Alko_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;B_karT_mcg;;;;mcg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;B12_HUSK_mcg;;;;mcg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;B6_HUSK_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;B6_HUSK_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Betaine_mg;;;Betaine;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;BROD_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C10_0_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C10_1_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C12_0_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C14_0_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C14_1_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C16_0_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C16_1_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C18_0_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C18_1_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C18_2n_6_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C18_3n_3_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C20_0_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C20_1_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C20_4n_6_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C20_5n_3_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C22_5n_3_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C22_6n_3_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C4_12_0_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;C4_8_0_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;DIVERS_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;DRIKKE_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;EGG_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Energi_kJ;;;;kJ;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Enumet_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Fett_Eprosent;;;;E %;Energiprosentfordeling for hver person, E%.;FFQ_NUTRITION_TOTAL;float
;Fett_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FFQ_blank_pages;No;0;;;;FFQ_NUTRITION_TOTAL;smallint
;FFQ_blank_pages;Yes;1;;;;FFQ_NUTRITION_TOTAL;smallint
;FFQ_blank_pages;No FFQ;2;;;;FFQ_NUTRITION_TOTAL;smallint
;FFQ_data;Available FFQ;1;;;;FFQ_NUTRITION_TOTAL;smallint
;FFQ_data;Missing;0;;;;FFQ_NUTRITION_TOTAL;smallint
;Fiber_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FIS_MH_g;;;Mager/halvfet fisk, rå;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FISK_F_g;;;Fet fisk, rå;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FISK_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FISK_g;;;Fisk totalt;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FISK_P_g;;;Produkter;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FISK_U_g;;;Uspes fisk, rå;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FISKPA_g;;;Fiskepålegg;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Flerum_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Folat01T_mcg;;;;mcg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;free_cho_mg;;;free choline;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;FRUKTB_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;GCP_mg;;;Glycerophosphocholine;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;GRSAK_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Jern_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;KAKER_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Kali_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Kalsi_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Kh_fib_Eprosent;;;;E %;Energiprosentfordeling for hver person, E%.;FFQ_NUTRITION_TOTAL;float
;Kh_fib_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;KJOTT_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Kolest_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;KORNPR_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Magnes_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;MELKFL_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Mettet_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Natri_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Niacin_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag. Inkl kosttillskudd;FFQ_NUTRITION_TOTAL;float
;NiaEq_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag. Inkl kosttillskudd;FFQ_NUTRITION_TOTAL;float
;NORCAD_ID;;;NORCAD_ID;;;FFQ_NUTRITION_TOTAL;int
;OST_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Pcho_mg;;;Phosphocholine;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;POTET_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Prot_Eprosent;;;;E %;Energiprosentfordeling for hver person, E%.;FFQ_NUTRITION_TOTAL;float
;Prot_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Ptdcho_mg;;;Phosphatidylcholine;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;ReteqT_mcg;;;;mcg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;RetinolT_mcg;;;;mcg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;RibofT_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Selen_mcg;;;;mcg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Sink_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;SKALIN_g;;;Skalldyr/innmat;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;SM_mg;;;Sphingomyelin;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;SMARGO_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;Sukker_Eprosent;;;;E %;Energiprosentfordeling for hver person, E%.;FFQ_NUTRITION_TOTAL;float
;Sukker_g;;;;g;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;SUKSOT_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;TiamiT_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;TILSKUDD_g;;;;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;TokofT_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;tot_cho_mg;;;Total choline (summen av free choline, glycerophosphocholine, phosphocholine, phosphatidylcholine og sphingomyelin);mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;V6770_g;;;Tran;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;V6802_g;;;Fiskeolje;g;Matinntak for hver person, gram pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;VitCT_mg;;;;mg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;VitD_mcg;;;;mcg;Stoffinntak for hver person, pr. person pr. dag.;FFQ_NUTRITION_TOTAL;float
;WENBIT_NR;Numeric;;;;;FFQ_NUTRITION_TOTAL;int
;PT_TL;;;;;;hs_acs_skjema;smallint
;MED_ANP;;;;;;hs_acs_skjema;bit
;MED_NG;;;;;;hs_acs_skjema;bit
;KK_SCREE;;;;;;hs_acs_skjema;int
;ACS_KOMM;;;;;;hs_acs_skjema;nvarchar
;TNIT_INN;;;;;;hs_acs_skjema;real
;KK_AMI1;;;;;;hs_acs_skjema;int
;EK_QACB;;;;;;hs_acs_skjema;bit
;AMI_KF;;;;;;hs_acs_skjema;bit
;KK_AMILO;;;;;;hs_acs_skjema;smallint
;MED_LMH;;;;;;hs_acs_skjema;bit
;LAGRET;;;;;;hs_acs_skjema;bit
;CKMB_INN;;;;;;hs_acs_skjema;int
;PT_TLTID;;;;;;hs_acs_skjema;int
;AC_BIO;;;;;;hs_acs_skjema;int
;KK_UT;;;;;;hs_acs_skjema;datetime
;AC_ICD9;;;;;;hs_acs_skjema;int
;BK_TNTMX;;;;;;hs_acs_skjema;real
;MED_ASA;;;;;;hs_acs_skjema;bit
;PT_TL2;;;;;;hs_acs_skjema;int
;KK_KOMP;;;;;;hs_acs_skjema;smallint
;upsize_ts;;;;;;hs_acs_skjema;timestamp
;IV_CABG;;;;;;hs_acs_skjema;smallint
;BK_CKMBM;;;;;;hs_acs_skjema;smallint
;KL_DYSP;;;;;;hs_acs_skjema;smallint
;MED_INS2;;;;;;hs_acs_skjema;bit
;MED_AARY;;;;;;hs_acs_skjema;bit
;MED_AB;;;;;;hs_acs_skjema;smallint
;IV_ANGIO;;;;;;hs_acs_skjema;smallint
;PT_PROS;;;;;;hs_acs_skjema;smallint
;MED_BBL;;;;;;hs_acs_skjema;bit
;KK_DIAGN;;;;;;hs_acs_skjema;smallint
;PT_ANN;;;;;;hs_acs_skjema;smallint
;KL_SJOK;;;;;;hs_acs_skjema;int
;EK_STD;;;;;;hs_acs_skjema;real
;PT_AVD;;;;;;hs_acs_skjema;int
;KL_AP;;;;;;hs_acs_skjema;smallint
;AC_BDIA;;;;;;hs_acs_skjema;int
;MED_GP2B;;;;;;hs_acs_skjema;bit
;EK_STDAV;;;;;;hs_acs_skjema;int
;EK_UT;;;;;;hs_acs_skjema;int
;KK_OPPF;;;;;;hs_acs_skjema;smallint
;MED_ADP;;;;;;hs_acs_skjema;bit
;IV_PCI1;;;;;;hs_acs_skjema;smallint
;EK_STE;;;;;;hs_acs_skjema;real
;PT_ASA;;;;;;hs_acs_skjema;smallint
;KK_AMIUT;;;;;;hs_acs_skjema;smallint
;AC_DIA0;;;;;;hs_acs_skjema;int
;KL_RESP;;;;;;hs_acs_skjema;smallint
;KK_UTTIL;;;;;;hs_acs_skjema;smallint
;AC_TNRF;;;;;;hs_acs_skjema;bit
;AC_TNET;;;;;;hs_acs_skjema;int
;EK_STEAV;;;;;;hs_acs_skjema;int
;KL_AFLI;;;;;;hs_acs_skjema;smallint
;MED_AMIO;;;;;;hs_acs_skjema;bit
;AC_STU;;;;;;hs_acs_skjema;int
;KL_IABP;;;;;;hs_acs_skjema;smallint
;PE_STAT;;;;;;hs_acs_skjema;int
;MED_DIU;;;;;;hs_acs_skjema;bit
;MED_INO;;;;;;hs_acs_skjema;bit
;IV_PCI2;;;;;;hs_acs_skjema;int
;EK_NYE;;;;;;hs_acs_skjema;int
;DUMMY;;;;;;hs_acs_skjema;nvarchar
;PT_ISH;;;;;;hs_acs_skjema;smallint
;MED_INS;;;;;;hs_acs_skjema;bit
;MED_KURV;;;;;;hs_acs_skjema;bit
;BK_TNTRE;;;;;;hs_acs_skjema;real
;AC_TNANT;;;;;;hs_acs_skjema;int
;AC_ICD10;;;;;;hs_acs_skjema;int
;KK_AMITY;;;;;;hs_acs_skjema;smallint
;acs_id;;;;;;hs_acs_skjema;int
;BK_CKMBR;;;;;;hs_acs_skjema;smallint
;forus_id;;;Forus_id;;;hs_acs_skjema;int
forus_id;forus_id;;;Alle data innhentes via oppkopling mot LKB-databasen………;;;hs_acs_skjema;int
FORUS-id;forus_id;Legges inn automatsik fra FORUS;;;;;hs_acs_skjema;int
FORUS-id;forus_id;;Legges inn automatisk fra FORUS;;;;hs_acs_skjema;int
Id som kobler til opphold;forus_id;;Legges inn automatisk fra FORUS;;;;hs_acs_skjema;int
Id som kobler til opphold;forus_id;;Heltall. Auto-genereres. Kopieres til alle andre moduler når det lagres data i disse.;;;;hs_acs_skjema;int
FORUS-id;forus_id;Legges ainn utomatisk fra FORUS;;;;;hs_acs_skjema;int
Id som kobler til opphold;forus_id;;;;;;hs_acs_skjema;int
Registrert av;REG_AV;4-tegns kode;;;;;hs_acs_skjema;nvarchar
;LAGRET;;;;;;hs_catcor_aortografi;bit
;DUMMY;;;;;;hs_catcor_aortografi;smallint
;catcor_id;;;;;;hs_catcor_aortografi;int
;AO_NORM;;;;;;hs_catcor_aortografi;bit
;catcor_aortografi_id;;;;;;hs_catcor_aortografi;int
AI (0-4);AI_ANG;Nei (0);0;;;;hs_catcor_aortografi;smallint
;AI_ANG;Grad 1;1;;;;hs_catcor_aortografi;smallint
;AI_ANG;Grad 2;2;;;;hs_catcor_aortografi;smallint
;AI_ANG;Grad 3;3;;;;hs_catcor_aortografi;smallint
;AI_ANG;Grad 4;4;;;;hs_catcor_aortografi;smallint
;AI_ANG;Ukjent;9;Default;;;hs_catcor_aortografi;smallint
Aortadisseksjon;AO_DISS;Nei (0);0;;;;hs_catcor_aortografi;smallint
;AO_DISS;Type A (1);1;;;;hs_catcor_aortografi;smallint
;AO_DISS;Type B (2);2;;;;hs_catcor_aortografi;smallint
;AO_DISS;Type A + B;3;;;;hs_catcor_aortografi;smallint
;AO_DISS;Ukjent;9;Default;;;hs_catcor_aortografi;smallint
Ao-diameter max (mm);AOMAX;heltall;20-90;;default=missing;;hs_catcor_aortografi;smallint
Id som kobler til opphold;forus_id;;Legges inn automatisk fra FORUS;;;;hs_catcor_aortografi;int
Id som kobler til opphold;forus_id;;Heltall. Auto-genereres. Kopieres til alle andre moduler når det lagres data i disse.;;;;hs_catcor_aortografi;int
Id som kobler til opphold;forus_id;;;;;;hs_catcor_aortografi;int
FORUS-id;forus_id;Legges ainn utomatisk fra FORUS;;;;;hs_catcor_aortografi;int
FORUS-id;forus_id;;Legges inn automatisk fra FORUS;;;;hs_catcor_aortografi;int
FORUS-id;forus_id;Legges inn automatsik fra FORUS;;;;;hs_catcor_aortografi;int
forus_id;forus_id;;;Alle data innhentes via oppkopling mot LKB-databasen………;;;hs_catcor_aortografi;int
;forus_id;;;Forus_id;;;hs_catcor_aortografi;int
Ny disseksjon (-2);NY_DISS;Ingen disseksjon;0;;;;hs_catcor_aortografi;smallint
;NY_DISS;Ny;1;;;;hs_catcor_aortografi;smallint
;NY_DISS;Gammel;2;;;;hs_catcor_aortografi;smallint
;NY_DISS;Ukjent varighet;3;;;;hs_catcor_aortografi;smallint
;NY_DISS;Ukjent;9;;;;hs_catcor_aortografi;smallint
;LAGRET;;;;;;hs_catcor_hemodynamikk;bit
;catcor_hjertekat_id;;;;;;hs_catcor_hemodynamikk;int
;upsize_ts;;;;;;hs_catcor_hemodynamikk;timestamp
;catcor_id;;;;;;hs_catcor_hemodynamikk;int
;DUMMY;;;;;;hs_catcor_hemodynamikk;smallint
;HEM_KOMM;;;;;;hs_catcor_hemodynamikk;nvarchar
Aorta;AO_PO2;heltall;50-100;;default=missing;;hs_catcor_hemodynamikk;smallint
AP;AP_PO2;heltall;40-90;;default=missing;;hs_catcor_hemodynamikk;smallint
CI (liter);CI_ANG;1 decimal;;co_ang/kl_bsa;default=missing;;hs_catcor_hemodynamikk;real
CO (liter);CO_ANG;1 decimal;1-15;;default=missing;;hs_catcor_hemodynamikk;real
Id som kobler til opphold;forus_id;;Legges inn automatisk fra FORUS;;;;hs_catcor_hemodynamikk;int
Id som kobler til opphold;forus_id;;Heltall. Auto-genereres. Kopieres til alle andre moduler når det lagres data i disse.;;;;hs_catcor_hemodynamikk;int
FORUS-id;forus_id;Legges ainn utomatisk fra FORUS;;;;;hs_catcor_hemodynamikk;int
Id som kobler til opphold;forus_id;;;;;;hs_catcor_hemodynamikk;int
forus_id;forus_id;;;Alle data innhentes via oppkopling mot LKB-databasen………;;;hs_catcor_hemodynamikk;int
FORUS-id;forus_id;Legges inn automatsik fra FORUS;;;;;hs_catcor_hemodynamikk;int
FORUS-id;forus_id;;Legges inn automatisk fra FORUS;;;;hs_catcor_hemodynamikk;int
;forus_id;;;Forus_id;;;hs_catcor_hemodynamikk;int
HA;HA_PO2;heltall;;;default=missing;;hs_catcor_hemodynamikk;int
HB (g/dl);HB;1 desimal;5-20;;Default=missing;;hs_catcor_hemodynamikk;real
hemoglobin;HB;;;lk_hb (i LKB-databasen);;;hs_catcor_hemodynamikk;real
Hjertefrekvens;HJFR;Default=missing;30-200;;;;hs_catcor_hemodynamikk;int
LA;LA_PO2;heltall;;;default=missing;;hs_catcor_hemodynamikk;int
Mixed;MIX_PO2;heltall;;;;;hs_catcor_hemodynamikk;int
PAP middel (mm Hg);PAP_MID;heltall;10-90;;default=missing;;hs_catcor_hemodynamikk;smallint
PWP middel (mm Hg);PWP_MID;heltall;5-50;;default=missing;;hs_catcor_hemodynamikk;smallint
PVR;PWR;heltall;((pap_mid - pwp_mid)*80)/ co_ang;;;;hs_catcor_hemodynamikk;smallint
Slagvolum, netto (ml);SV_NETTO;heltall;;co_ang*1000/hjfr;default=missing;;hs_catcor_hemodynamikk;int
VCI;VCI_PO2;heltall;;;;;hs_catcor_hemodynamikk;int
VCS;VCS_PO2;heltall;;;;;hs_catcor_hemodynamikk;int
;TIDL_RES;;;;;;hs_catcor_koronar;smallint
;STN_SUM2;;;;;;hs_catcor_koronar;int
;Trombe;;;;;;hs_catcor_koronar;bit
